title,source,region_score,region_label,resonance_score,resonance_label,llm_total,web_resonance,final_score,kept
"Energy storage capacity rose nearly 50% in 2025, but financing pressures mount -report",Carbon Pulse,10,About Africa continent-wide,10,Notable but niche news,20,12,32,
TotalEnergies ramps up 61MW unit at Iraq’s 1GW Basra solar project,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,16,31,
Powering Australia’s family club: Hawthorn FC names Anker SOLIX as official home  battery partner,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,16,31,
US import tariffs ‘increase the policy risk’ for BESS,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,16,31,
Where next for the US solar tariff whack-a-mole game?,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,16,31,
PV ModuleTech Europe 2026,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,16,31,
Tiger Module Technology White Paper,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,16,31,
Is “hard-to-abate” really that hard – or is it a justification for delay?,Climate Change News,10,About Africa continent-wide,5,Notable but niche news,15,16,31,
"Trina Solar publishes its Vertex module technology white paper, unveiling a brand new technology heading towards 600W",PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,16,31,
Study: Operating Temperatures of the 210mm Ultra-high Power Module,PV Tech,10,About Africa continent-wide,5,Notable but niche news,15,16,31,
How Vanuatu is facing up to rising climate risks,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,16,31,
TrinaTracker signs 360 MW solar tracker agreement in Spain,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,16,31,
Origis Energy secures US$545 million for 413MW Texas PV portfolio,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,16,31,
LONGi recognized in S&P Global Sustainability Yearbook,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,16,31,
Mibet unveils new brand identity,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,16,31,
Australia and Canada establish five-pillar clean energy partnership framework,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,16,31,
Silfab Solar slams ‘misinformation’ over chemical ‘leak’ at South Carolina solar module factory,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,16,31,
Why the Middle East crisis could prompt a doubling down on solar,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,16,31,
"Arevon powers 430MW Missouri PV project, boosts state solar capacity by 50%",PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,16,31,
Portland General Electric finalises agreements for 1GW renewables and BESS,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,16,31,
"DATA DIVE: Fuel switching keeps support for EU carbon in face of looming recession, political intervention risks",Carbon Pulse,10,About Global / World / developed countries only,5,Very local or minor news,15,16,31,
Origin Energy’s 650MWh grid-forming BESS begins commissioning in Australia,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,16,31,
"China eases climate target but clean energy could still cut emissions, experts say",Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,16,31,
How green are batteries for electric vehicles?,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,16,31,
What we need to see in the roadmap to transition away from fossil fuels,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,16,31,
FEATURE: Global carbon price for shipping faces hammer blows from counter proposals,Carbon Pulse,10,Global / World / developed countries only,5,Very local or minor news,15,16,31,
There is hope for Venezuela’s future – and it isn’t based on oil,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,16,31,
Why women’s leadership is central to unlocking the global phaseout of fossil fuels,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,16,31,
Deep divisions persist as plastics treaty talks restart at informal meeting,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,16,31,
‘America needs you’: US seeks trade alliance to break China’s critical mineral dominance,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,16,31,
"At ‘Davos of mining’, Saudi Arabia shapes new narrative on minerals",Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,16,31,
What is Sustainable Aviation Fuel (SAF)?,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,16,31,
VCM Report: Voluntary carbon prices slip lower as buying appetite dries up amid oil spikes,Carbon Pulse,10,About Africa continent-wide,10,Notable but niche news,20,10,30,
"Carbon registry updates Article 6.2 procedures, methodologies as it submits CORSIA application",Carbon Pulse,10,About Africa continent-wide,10,Notable but niche news,20,10,30,
South African rare earths project aims to rival Chinese with low-cost model,Climate Change News,10,About Africa continent-wide,10,Notable but niche news,20,10,30,
What does it take to make clean energy technologies?,Climate Change News,10,About Africa continent-wide,10,Notable but niche news,20,10,30,
Zimbabwe forest carbon megaproject generated millions of junk credits,Climate Change News,10,About Africa continent-wide,10,Notable but niche news,20,10,30,
Why the world is racing to mine critical minerals,Climate Change News,10,Global / World / developed countries only,10,Notable but niche news,20,10,30,
New summit in Colombia seeks to revive stalled UN talks on fossil fuel transition,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,12,27,
Zelestra secures US$176 million financing for 242MWdc PV project in Peru,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,12,27,
Middle East conflict could reshape region's CCUS outlook -analysts,Carbon Pulse,10,Global / World / developed countries only,5,Very local or minor news,15,12,27,
France seeks EU CBAM derogation for its overseas territories,Carbon Pulse,10,Global / World / developed countries only,5,Very local or minor news,15,12,27,
Success of EU's ETS2 hinges on complementary policies to ensure social fairness -EEA,Carbon Pulse,10,Global / World / developed countries only,5,Very local or minor news,15,12,27,
Carbon market supporters risk cheating the nature they wish to protect,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,12,27,
Middle East crisis increases Southeast Asia’s coal risk,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,12,27,
"The more Europe relies on the US for energy, the more it’s vulnerable to pressure by Trump",Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,12,27,
Why cutting climate journalism is a risk we can’t afford,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,12,27,
China maximises battery recycling to shore up critical mineral supplies,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,10,25,
Enery closes US$534 million in finance for Romanian solar-plus-storage project,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,10,25,
Austria targets carbon cost pass-through in power prices,Carbon Pulse,10,Global / World / developed countries only,5,Very local or minor news,15,10,25,
"For Indian women workers, a just transition means surviving climate impacts with dignity",Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,10,25,
UN’s new carbon market delivers first credits through Myanmar cookstove project,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,10,25,
China’s VAT change confirms scale alone no longer defines competitiveness in PV manufacturing,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,10,25,
"FEATURE: A few design choices could define Colombian ETS, but guiding objectives unclear",Carbon Pulse,10,Global / World / developed countries only,5,Very local or minor news,15,10,25,
PV ModuleTech USA 2026,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,10,25,
Nine of our best climate stories from 2025,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,10,25,
"Canadian platform, Indigenous cooperative launch alliance to advance carbon credit pathways tied to oil, gas",Carbon Pulse,10,Global / World / developed countries only,5,Very local or minor news,15,10,25,
COP30: Spain’s unions say just transition means renewing communities beyond jobs,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,10,25,
How Belém launched the Just Transition mechanism,Climate Change News,10,About Africa continent-wide,5,Notable but niche news,15,10,25,
"California climate disclosure rule could reorder corporate carbon rankings, redirect capital -study",Carbon Pulse,10,Global / World / developed countries only,5,Very local or minor news,15,10,25,
The US’s critical minerals club threatens an equitable clean energy transition,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,10,25,
Sineng Electric to supply central inverter solutions to Egyptian solar plant,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,10,25,
COP30: Brazil is drying up despite its rich natural resources,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,10,25,
Trinasolar launches Vertex S+ G3 and Vertex N G3 ranges of i-TOPCon modules,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,10,25,
How women transformed a Vanuatu community with off-grid solar,Climate Change News,10,About Global South / developing countries,5,Very local or minor news,15,10,25,
Green groups sue EU over inclusion of Portuguese lithium mine on priority list,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,10,25,
Solar and storage boost to tackle energy affordability in New Jersey,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,10,25,
Will pricing emissions from flying affect tourism? Not if it’s done right,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,10,25,
Argentina’s pioneering glacier law on the line as Milei bets on copper rush,Climate Change News,10,Global / World / developed countries only,5,Very local or minor news,15,10,25,
Fortescue begins construction on Western Australia’s ‘largest’ solar PV power plant,PV Tech,0,API error,0,API error,0,20,20,
EU’s new climate target lines up multibillion-dollar boost for carbon markets,Climate Change News,0,API error,0,API error,0,16,16,
JinkoSolar signs 309MW Tiger Neo 3.0 module order with partner in Spain,PV Tech,0,API error,0,API error,0,16,16,
White Paper on 182mm wafer based module. Optimal Module Solution for Achieving Lower LCOE at Utility Scale Photovoltaic Power Stations,PV Tech,0,API error,0,API error,0,16,16,
Qcells resumes normal US solar module production after UFLPA detainments,PV Tech,0,API error,0,API error,0,16,16,
Empowering your solar business with wireless monitoring and smart connectivity,PV Tech,0,API error,0,API error,0,16,16,
Europe’s ‘Made in EU’ plans draw mixed reactions from solar industry,PV Tech,0,API error,0,API error,0,12,12,
EU ‘Made in Europe’ regulation welcomed but ‘will not remove dependency on China’,PV Tech,0,API error,0,API error,0,12,12,
NEM Data Spotlight: February 2026 sees generation retreat from summer peak as pricing volatility reaches new extremes,PV Tech,0,API error,0,API error,0,10,10,
Hydrogen beyond the hype: The green fuel’s narrow but crucial role in a decarbonized economy,Climate Change News,0,API error,0,API error,0,10,10,
Midsummer secures US$25.5 million thin-film CIGS equipment follow-up order,PV Tech,0,API error,0,API error,0,10,10,
Ciel & Terre receives certification for Fusio floating solar system,PV Tech,0,API error,0,API error,0,10,10,
"As governments bet on carbon trading, Japan’s early scheme spotlights pitfalls",Climate Change News,0,API error,0,API error,0,10,10,
Silfab Solar pauses operations at module & cell factory after chemical spills,PV Tech,0,API error,0,API error,0,10,10,
A just transition for renewables: Why COP30 must put people before power,Climate Change News,0,API error,0,API error,0,10,10,
