title,source,region_score,region_label,resonance_score,resonance_label,llm_total,web_resonance,final_score,kept
Silfab Solar slams ‘misinformation’ over chemical ‘leak’ at South Carolina solar module factory,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,8,23,
Why the Middle East crisis could prompt a doubling down on solar,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,8,23,
Europe’s ‘Made in EU’ plans draw mixed reactions from solar industry,PV Tech,0,API error,0,API error,0,6,6,
Trinasolar launches Vertex S+ G3 and Vertex N G3 ranges of i-TOPCon modules,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,5,20,
Zelestra secures US$176 million financing for 242MWdc PV project in Peru,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,6,21,
"Polysilicon prices plunge, with maximum decline exceeding 12%",PV Tech,10,About Africa continent-wide,10,Notable but niche news,20,8,28,
Midsummer secures US$25.5 million thin-film CIGS equipment follow-up order,PV Tech,0,API error,0,API error,0,5,5,
Lyra Energy secures financing for 255MW PV project in South Africa,PV Tech,10,Global / World / developed countries only,10,Notable but niche news,20,6,26,
Solar and storage boost to tackle energy affordability in New Jersey,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,5,20,
Fortescue begins construction on Western Australia’s ‘largest’ solar PV power plant,PV Tech,0,API error,0,API error,0,10,10,
TotalEnergies ramps up 61MW unit at Iraq’s 1GW Basra solar project,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,8,23,
Origis Energy secures US$545 million for 413MW Texas PV portfolio,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,8,23,
Zelestra begins construction on 441MWdc solar portfolio in Texas,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,10,25,
Silfab Solar pauses operations at module & cell factory after chemical spills,PV Tech,0,API error,0,API error,0,5,5,
Portland General Electric finalises agreements for 1GW renewables and BESS,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,8,23,
"Arevon powers 430MW Missouri PV project, boosts state solar capacity by 50%",PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,8,23,
Enery closes US$534 million in finance for Romanian solar-plus-storage project,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,5,20,
Ciel & Terre receives certification for Fusio floating solar system,PV Tech,0,API error,0,API error,0,5,5,
Mibet unveils new brand identity,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,8,23,
Sineng Electric to supply central inverter solutions to Egyptian solar plant,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,5,20,
JinkoSolar signs 309MW Tiger Neo 3.0 module order with partner in Spain,PV Tech,0,API error,0,API error,0,8,8,
LONGi recognized in S&P Global Sustainability Yearbook,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,8,23,
TrinaTracker signs 360 MW solar tracker agreement in Spain,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,8,23,
Powering Australia’s family club: Hawthorn FC names Anker SOLIX as official home  battery partner,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,8,23,
White Paper on 182mm wafer based module. Optimal Module Solution for Achieving Lower LCOE at Utility Scale Photovoltaic Power Stations,PV Tech,0,API error,0,API error,0,8,8,
Study: Operating Temperatures of the 210mm Ultra-high Power Module,PV Tech,10,About Africa continent-wide,5,Notable but niche news,15,8,23,
"Trina Solar publishes its Vertex module technology white paper, unveiling a brand new technology heading towards 600W",PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,8,23,
Tiger Module Technology White Paper,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,8,23,
Empowering your solar business with wireless monitoring and smart connectivity,PV Tech,0,API error,0,API error,0,8,8,
PV ModuleTech USA 2026,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,5,20,
PV ModuleTech Europe 2026,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,8,23,
China’s VAT change confirms scale alone no longer defines competitiveness in PV manufacturing,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,5,20,
NEM Data Spotlight: February 2026 sees generation retreat from summer peak as pricing volatility reaches new extremes,PV Tech,0,API error,0,API error,0,5,5,
Where next for the US solar tariff whack-a-mole game?,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,8,23,
Hanjung America to build ESS manufacturing facility in Indiana to support StarPlus Energy,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,10,25,
US import tariffs ‘increase the policy risk’ for BESS,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,8,23,
EU ‘Made in Europe’ regulation welcomed but ‘will not remove dependency on China’,PV Tech,0,API error,0,API error,0,6,6,
Origin Energy’s 650MWh grid-forming BESS begins commissioning in Australia,PV Tech,10,Global / World / developed countries only,5,Very local or minor news,15,8,23,
